ISO,Postverbal_Negative_Morphemes
bcm,0.0
klr,1.0
klu,0.0
agb,0.0
usa,0.0
amp,0.0
isl,2.0
lif,1.0
ssn,1.0
xav,2.0
oma,1.0
ank,2.0
skj,0.0
kvn,1.0
yuc,0.0
jbu,2.0
ngo,2.0
itl,1.0
yia,0.0
xmu,0.0
snn,1.0
azb,1.0
tsj,3.0
sbu,0.0
nxg,0.0
ane,0.0
heb,0.0
amh,1.0
kjd,1.0
nas,3.0
kza,0.0
tsv,0.0
tya,0.0
bej,0.0
sjg,1.0
amn,1.0
cdm,1.0
pan,0.0
lui,0.0
chf,0.0
roh,2.0
kgq,1.0
yae,1.0
mkz,0.0
mco,0.0
nyi,0.0
kpm,0.0
mig,0.0
mdd,2.0
gil,0.0
zrs,1.0
wol,1.0
zul,1.0
tac,0.0
kwi,3.0
dif,0.0
dga,0.0
bnc,0.0
bvx,0.0
hei,0.0
mnx,2.0
sbf,2.0
bfw,0.0
cax,1.0
tem,1.0
llp,0.0
kot,2.0
chb,1.0
dow,3.0
tiw,0.0
eve,1.0
sen,2.0
bdm,2.0
gbd,0.0
pao,0.0
ona,2.0
pav,0.0
tnm,3.0
scl,0.0
nih,0.0
gdq,2.0
yij,0.0
tbg,0.0
nna,0.0
bot,2.0
vma,0.0
ven,0.0
kcg,2.0
kca,0.0
mcp,1.0
waw,1.0
srb,0.0
cja,2.0
cla,2.0
mep,0.0
dau,0.0
njb,1.0
hla,2.0
dbl,0.0
xbi,0.0
bag,0.0
pom,1.0
abz,2.0
brm,2.0
hvn,2.0
mpq,1.0
ktd,1.0
wme,0.0
gey,0.0
zun,1.0
xam,0.0
nsz,1.0
iqu,0.0
kun,1.0
ngi,2.0
nbm,2.0
bdh,2.0
kyh,1.0
dnj,0.0
acv,0.0
sbc,2.0
pqa,2.0
dma,2.0
tgo,0.0
uig,1.0
csz,0.0
qvi,0.0
lep,1.0
cid,1.0
sbs,1.0
gbp,2.0
woa,2.0
lgu,0.0
tan,1.0
sah,1.0
pes,0.0
khq,0.0
rap,0.0
tee,0.0
mjw,1.0
mpb,0.0
dag,0.0
mdi,0.0
kbp,0.0
jya,0.0
tio,2.0
yuf,2.0
aom,0.0
lea,0.0
ssw,1.0
gvn,0.0
wal,1.0
teu,0.0
men,0.0
ker,2.0
pid,1.0
mhu,1.0
nzm,2.0
kwn,0.0
plg,0.0
kcu,0.0
mgf,0.0
krs,2.0
kab,2.0
rit,1.0
shy,0.0
ddo,2.0
aoj,2.0
lti,0.0
psa,2.0
eky,2.0
bam,0.0
gru,0.0
yuj,3.0
kpv,0.0
sua,0.0
bni,2.0
bug,0.0
cdn,0.0
dju,1.0
fun,1.0
byw,1.0
tbi,2.0
khl,2.0
bod,0.0
ung,0.0
lhm,1.0
brb,0.0
sue,0.0
dds,1.0
nnb,0.0
khg,0.0
kfy,0.0
mrz,0.0
ahg,1.0
xas,0.0
ndt,1.0
gbr,2.0
shs,0.0
aes,0.0
wms,1.0
nez,0.0
ppl,0.0
ijc,3.0
hnh,2.0
cme,0.0
crw,2.0
jei,0.0
bca,0.0
okv,1.0
fub,1.0
mym,1.0
cmn,0.0
cgg,0.0
ntj,1.0
gvo,0.0
nju,0.0
cab,0.0
kbk,0.0
adx,0.0
ntp,0.0
tma,1.0
gub,0.0
ulk,0.0
wbl,0.0
kcr,2.0
asu,1.0
tpj,1.0
bim,2.0
zro,1.0
mzp,0.0
klb,2.0
alp,2.0
sgw,0.0
mnw,0.0
byn,1.0
tlj,0.0
xal,2.0
inh,1.0
der,1.0
lis,0.0
mgl,2.0
hil,0.0
kzj,0.0
nxq,0.0
cir,0.0
cas,0.0
tta,1.0
oon,2.0
irh,2.0
adn,2.0
lnb,0.0
wed,0.0
bho,0.0
emi,0.0
slc,1.0
mec,0.0
baa,0.0
arh,1.0
mio,0.0
mil,0.0
ndo,0.0
wdj,0.0
bio,1.0
cui,1.0
xwg,1.0
kng,3.0
pjt,3.0
kle,1.0
myp,1.0
loy,0.0
ttr,2.0
huu,1.0
wsk,0.0
ann,0.0
shb,2.0
bkc,2.0
ywr,0.0
mlv,1.0
kxa,2.0
one,0.0
swh,0.0
nyo,0.0
anz,2.0
ctm,1.0
kln,0.0
bvz,2.0
bav,2.0
kma,0.0
div,0.0
snp,1.0
chr,0.0
mhj,0.0
mwf,0.0
are,1.0
xom,0.0
ajg,2.0
vam,2.0
dis,1.0
qui,0.0
lhu,0.0
mnr,0.0
svs,0.0
zag,1.0
eip,2.0
imi,1.0
ghs,1.0
old,0.0
mkj,0.0
lvk,3.0
opt,0.0
ctd,2.0
mgr,0.0
mky,2.0
tti,1.0
wim,0.0
mdj,2.0
ikx,0.0
hae,0.0
guc,0.0
bzr,2.0
gym,0.0
ood,0.0
muz,0.0
ayz,2.0
mrg,1.0
rug,0.0
szp,1.0
tbh,0.0
sid,0.0
kgy,0.0
mas,0.0
mxe,2.0
mbj,0.0
lkr,0.0
mek,0.0
nmf,0.0
nso,1.0
mpk,2.0
nab,1.0
cha,0.0
nup,2.0
ary,1.0
msj,2.0
mhi,2.0
baw,0.0
ctp,0.0
vnm,1.0
cyb,0.0
dim,1.0
mnz,0.0
yii,0.0
nhu,2.0
cao,1.0
grt,1.0
wan,2.0
clk,1.0
bip,0.0
bft,2.0
ons,0.0
